,x1,y1,x,y,angle,size
0,61,19,10,-5,-0.4636476090008061,11.180339887498949
1,82,19,6,2,0.3217505543966422,6.324555320336759
2,103,19,10,-1,-0.09966865249116202,10.04987562112089
3,124,19,14,-9,-0.5713374798336268,16.64331697709324
4,145,19,-8,25,1.9163519073766087,26.570660511172846
5,166,19,51,-34,-0.5790742693677309,62.12889826803627
6,187,19,0,3,1.5707963267948966,3.0
7,208,19,31,-3,-0.12435499454676144,32.2490309931942
8,229,19,72,-31,-0.4182243295792291,78.79086241436883
9,250,19,77,-44,-0.5136060047227489,89.55445270895244
10,271,19,73,-27,-0.3542594226786661,77.83315488916018
11,292,19,76,-26,-0.3296244074207427,80.32434251209281
12,313,19,74,-31,-0.4081491037550893,80.62257748298549
13,334,19,95,-34,-0.34369060698860465,100.90094152187085
14,355,19,65,-11,-0.1676424378312157,65.92419889539804
15,376,19,63,-5,-0.0791990709694515,63.198101237299845
16,397,19,57,-9,-0.15660187698201536,57.706152185014034
17,418,19,69,-10,-0.15808997112168574,69.87131027825369
18,439,19,60,-1,-0.033320995878247196,60.03332407921454
19,460,19,26,-72,-1.2242574623609548,76.55063683601855
20,481,19,-46,-368,-1.697826005702349,370.98921817217274
21,502,19,41,-84,-1.1213657693235792,94.37160589923221
22,523,19,62,-11,-0.17559216195018024,62.96824596572466
23,544,19,95,-61,-0.5708052819062247,112.89818421923357
24,565,19,97,-77,-0.6709578581273848,123.84667940643382
25,586,19,69,-129,-1.079632728508636,146.2942240828393
26,607,19,30,11,0.3514447940035517,31.953090617340916
27,628,19,11,-20,-1.0882830317724197,23.706539182259394
28,649,19,60,-157,-1.2057583291138,168.07438829280326
29,670,19,0,7,1.4288992721907328,7.0710678118654755
30,691,19,11,-22,-1.1071487177940904,24.596747752497688
31,712,19,7,-42,-1.382574821490126,42.7551166528639
32,733,19,3,-1,-0.3217505543966422,3.1622776601683795
33,754,19,2,-43,-1.5011417530663285,43.104524124504614
34,775,19,-76,-74,-2.3695270334864906,106.07544484940895
35,796,19,-93,-166,-2.081468067638449,190.2761151589973
36,817,19,-148,-113,-2.4894988454333746,186.20687420178666
37,838,19,-157,-93,-2.6021103601675826,182.98907071188705
38,859,19,-36,-165,-1.7856117271965553,168.88161534045085
39,880,19,-23,-86,-1.8429422173260839,89.28605714219886
40,901,19,-72,-19,-2.883585411725838,74.46475676452586
41,922,19,-11,0,-3.050932766389048,11.045361017187261
42,943,19,-39,-46,-2.274026967830645,60.30754513325841
43,964,19,-14,-16,-2.289626326416521,21.2602916254693
44,985,19,-51,-52,-2.3369660910926378,73.55270219373317
45,1006,19,-44,-106,-1.9642469647238323,114.76933388322858
46,1027,19,8,0,0.0,8.0
47,1048,19,13,1,0.07677189126977804,13.038404810405298
48,1069,19,-21,-23,-2.310771210770768,31.144823004794873
49,1090,19,-42,-21,-2.687290566896477,47.853944456021594
50,1111,19,-31,-18,-2.6292031932790554,36.71511950137164
51,1132,19,-4,-8,-2.129395642138459,9.433981132056603
52,1153,19,4,8,1.1071487177940904,8.94427190999916
53,1174,19,-73,-49,-2.5410515222107857,88.48163651289458
54,1195,19,-58,-38,-2.5496218169031923,69.8927750200262
55,1216,19,-28,-22,-2.4756234162106834,35.608987629529715
56,1237,19,-94,-92,-2.3669467639834463,131.52946437965906
57,1258,19,-15,-1,-3.0090411212931194,15.132745950421556
58,19,40,13,-7,-0.5191461142465229,16.1245154965971
59,40,40,31,-8,-0.25255427577805956,32.01562118716424
60,61,40,56,-21,-0.35877067027057225,59.80802621722272
61,82,40,59,-17,-0.28053679173832197,61.40032573203501
62,103,40,56,-10,-0.1767088560700366,56.88585061331157
63,124,40,61,-19,-0.30195116183024934,63.89053137985315
64,145,40,17,25,0.973619668702219,30.23243291566195
65,166,40,-22,34,2.1451011569695986,40.496913462633174
66,187,40,23,-26,-0.8253768505207384,35.38361202590826
67,208,40,25,-13,-0.4795192919925962,28.178005607210743
68,229,40,15,-6,-0.4124104415973873,17.46424919657298
69,250,40,15,-5,-0.3217505543966422,15.811388300841896
