,x1,y1,x,y,angle,size
0,40,82,1,-1,-0.7853981633974483,1.4142135623730951
1,61,82,2,-1,-0.4636476090008061,2.23606797749979
2,208,82,-1,-1,-2.356194490192345,1.4142135623730951
3,229,82,1,-1,-0.7853981633974483,1.4142135623730951
4,313,82,1,-1,-0.7853981633974483,1.4142135623730951
5,460,82,2,-1,-0.4636476090008061,2.23606797749979
6,19,103,211,-124,-0.5313097312559983,244.73863609981976
7,40,103,269,-143,-0.4886057147964313,304.64733709651887
8,61,103,252,-125,-0.46046796947787483,281.298773548695
9,82,103,246,-125,-0.4717119503075731,277.2814454665151
10,103,103,218,-120,-0.5031953235893651,248.8453334905037
11,124,103,259,-142,-0.5044721151587397,295.85469406450187
12,145,103,236,-133,-0.5131938035919313,270.8966592632696
13,166,103,226,-136,-0.5417198896546271,263.7650469641495
14,187,103,226,-131,-0.525318875351304,261.22212769977966
15,208,103,220,-125,-0.5201245875154694,253.527118865024
16,229,103,248,-129,-0.47964624387714966,279.54427198567316
17,250,103,237,-138,-0.5272870470142864,274.2498860528478
18,271,103,230,-103,-0.4210446283062471,252.00992043965255
19,292,103,234,-122,-0.48059513880721105,263.89391808073185
20,313,103,261,-154,-0.5330625305719574,303.0462010981164
21,334,103,267,-145,-0.49750800560151553,303.8321905262838
22,355,103,291,-175,-0.5414296009371486,339.5673718130174
23,376,103,273,-159,-0.5273909215334932,315.9272068056184
24,397,103,241,-131,-0.49789196565079996,274.3027524469997
25,418,103,231,-139,-0.5416917642151746,269.59599403551977
26,439,103,253,-148,-0.5293023456481459,293.1091946698363
27,460,103,263,-148,-0.5154530657918073,302.27470949452584
28,481,103,237,-131,-0.5049464273704123,270.79512551004314
29,502,103,261,-147,-0.5129350139936566,299.5496619927988
30,523,103,269,-158,-0.5310739779630943,311.96954979612997
31,544,103,285,-157,-0.5035164301610137,325.38285142275095
32,565,103,266,-153,-0.5219755327268123,306.86316168611705
33,586,103,283,-163,-0.5225642551310317,326.58536403213174
34,607,103,266,-154,-0.5276068309715496,307.8652302550582
35,628,103,212,-148,-0.6072515627031952,259.37039152532424
36,19,124,211,-103,-0.4541240874071933,234.7977853387889
37,40,124,236,-108,-0.4275807816846266,260.44769148525774
38,61,124,218,-106,-0.45257795047069915,242.404620418011
39,82,124,216,-107,-0.45993705089104003,241.04978738841484
