frame,i,x1,y1,x2,y2,x,y,angle,size
11, 4, 100, 298, 102, 296, -2, 2, 2.356194490192345, 2.8284271247461903
12, 1, 75, 142, 77, 141, -2, 1, 2.677945044588987, 2.23606797749979
12, 4, 99, 296, 100, 298, -1, -2, -2.0344439357957027, 2.23606797749979
12, 30, 35, 347, 34, 348, 1, -1, -0.7853981633974483, 1.4142135623730951
14, 12, 79, 195, 79, 197, 0, -2, -1.5707963267948966, 2.0
15, 5, 98, 292, 99, 294, -1, -2, -2.0344439357957027, 2.23606797749979
15, 8, 89, 145, 88, 146, 1, -1, -0.7853981633974483, 1.4142135623730951
15, 40, 88, 140, 87, 139, 1, 1, 0.7853981633974483, 1.4142135623730951
16, 4, 96, 290, 98, 292, -2, -2, -2.356194490192345, 2.8284271247461903
16, 24, 21, 188, 20, 189, 1, -1, -0.7853981633974483, 1.4142135623730951
16, 33, 89, 141, 88, 140, 1, 1, 0.7853981633974483, 1.4142135623730951
17, 4, 95, 288, 96, 290, -1, -2, -2.0344439357957027, 2.23606797749979
18, 4, 94, 286, 95, 288, -1, -2, -2.0344439357957027, 2.23606797749979
18, 7, 89, 146, 90, 145, -1, 1, 2.356194490192345, 1.4142135623730951
18, 24, 87, 142, 89, 141, -2, 1, 2.677945044588987, 2.23606797749979
19, 6, 88, 147, 89, 146, -1, 1, 2.356194490192345, 1.4142135623730951
20, 13, 98, 289, 97, 290, 1, -1, -0.7853981633974483, 1.4142135623730951
20, 36, 102, 298, 101, 300, 1, -2, -1.1071487177940904, 2.23606797749979
20, 47, 6, 271, 8, 273, -2, -2, -2.356194490192345, 2.8284271247461903
21, 9, 99, 290, 98, 289, 1, 1, 0.7853981633974483, 1.4142135623730951
21, 25, 105, 299, 102, 298, 3, 1, 0.3217505543966422, 3.1622776601683795
21, 34, 3, 268, 6, 271, -3, -3, -2.356194490192345, 4.242640687119285
22, 2, 79, 145, 78, 144, 1, 1, 0.7853981633974483, 1.4142135623730951
22, 7, 101, 292, 99, 290, 2, 2, 0.7853981633974483, 2.8284271247461903
22, 22, 106, 298, 105, 299, 1, -1, -0.7853981633974483, 1.4142135623730951
22, 29, 2, 266, 3, 268, -1, -2, -2.0344439357957027, 2.23606797749979
23, 7, 102, 293, 101, 292, 1, 1, 0.7853981633974483, 1.4142135623730951
24, 7, 103, 295, 102, 293, 1, 2, 1.1071487177940904, 2.23606797749979
24, 20, 128, 106, 129, 105, -1, 1, 2.356194490192345, 1.4142135623730951
