,Unnamed: 0,x1,y1,x,y,angle,size
0,0,82,61,4,-1,-0.2449786631268641,4.123105625617661
1,1,124,61,4,1,0.2449786631268641,4.123105625617661
2,2,166,61,1,2,1.1071487177940904,2.23606797749979
4,4,40,82,1,1,0.7853981633974483,1.4142135623730951
5,5,82,82,3,2,0.7853981633974483,4.242640687119285
6,6,103,82,8,7,0.7188299996216245,10.63014581273465
7,7,166,82,2,2,0.7853981633974483,2.8284271247461903
8,8,19,103,4,-2,-0.4636476090008061,4.47213595499958
9,9,40,103,7,-1,-0.14189705460416396,7.071067811865476
10,10,61,103,15,-3,-0.19739555984988075,15.297058540778355
11,11,82,103,10,6,0.5404195002705842,11.6619037896906
12,12,103,103,1,1,0.7853981633974483,1.4142135623730951
13,13,124,103,20,6,0.3366748193867272,21.18962010041709
14,14,145,103,11,-6,-0.4993467216801301,12.529964086141668
15,15,166,103,12,-19,-1.0074800653029286,22.47220505424423
16,16,187,103,12,-9,-0.6947382761967031,15.620499351813306
17,17,208,103,10,8,0.6747409422235526,12.806248474865697
18,18,229,103,3,-5,-1.0303768265243125,5.830951894845301
19,19,250,103,4,0,0.0,4.0
20,20,271,103,1,-1,-0.7853981633974483,1.4142135623730951
21,21,19,124,165,-30,-0.17985349979247828,167.70509831248424
22,22,40,124,170,-61,-0.3497152903665077,180.9530325802804
23,23,61,124,127,-83,-0.5788620902917722,151.71684151734772
24,24,82,124,124,-67,-0.49538298252926394,140.9432509913121
25,25,103,124,136,-81,-0.5371692408601765,158.2940302096071
26,26,124,124,89,-65,-0.6380859992688592,110.80162453682709
28,28,166,124,41,-21,-0.473356041834915,46.06517122512408
29,29,187,124,47,-1,-0.04164257909858842,48.04164859785725
30,30,208,124,15,-7,-0.4366271598135413,16.55294535724685
31,31,229,124,11,-2,-0.17985349979247828,11.180339887498945
33,33,292,124,2,-1,-0.4636476090008061,2.23606797749979
34,34,19,145,66,-45,-0.6086893073274117,80.44874144447506
35,35,40,145,56,-30,-0.5055810548742051,64.00781202322104
36,36,61,145,112,-22,-0.1939591472598931,114.1402645870422
37,37,82,145,71,-15,-0.2082059495239874,72.56721022610694
38,38,103,145,41,-15,-0.3720677588581204,44.01136216933078
39,39,124,145,30,-8,-0.260602391747341,31.048349392520052
40,40,145,145,25,-19,-0.6498704494119476,31.40063693621516
41,41,166,145,28,-9,-0.31099828060554097,29.410882339705488
42,42,187,145,17,-5,-0.2860514417173182,17.720045146669353
43,43,208,145,45,-8,-0.19739555984988075,45.89117562233506
44,44,229,145,16,3,0.2310906671958971,17.464249196572982
45,45,250,145,6,-5,-0.7853981633974483,8.48528137423857
46,46,271,145,3,-6,-1.0516502125483738,8.06225774829855
47,47,19,166,87,-48,-0.5041659614791529,99.36297097007515
48,48,40,166,71,-38,-0.4914182455942272,80.52949770115295
49,49,61,166,76,-35,-0.4315730512235052,83.6719785830358
50,50,82,166,27,-11,-0.3868757177310281,29.154759474226502
51,51,103,166,66,8,0.12062366858010272,66.48308055437866
52,52,124,166,91,6,0.0658387693026938,91.19758768739443
53,53,145,166,62,0,-0.016127633843636236,62.008063991709975
54,54,166,166,34,1,0.029403288204005118,34.0147027033899
55,55,187,166,22,-18,-0.6857295109062863,28.42534080710379
56,56,208,166,20,-5,-0.2449786631268641,20.615528128088304
57,57,229,166,28,18,0.5713374798336268,33.286633954186485
58,58,250,166,18,5,0.2709468503384205,18.681541692269406
61,61,19,187,28,-13,-0.4346702151492448,30.870698080866266
62,62,40,187,36,-26,-0.625485040239229,44.407206622349044
63,63,61,187,37,-40,-0.8243395064944875,54.488530903301104
64,64,82,187,32,-37,-0.8577354939360433,48.918299234540044
65,65,103,187,36,-21,-0.5280744484263596,41.67733196834941
66,66,124,187,41,-11,-0.26211984126547283,42.44997055358225
67,67,145,187,51,-6,-0.11710874456686428,51.35172830587107
68,68,166,187,31,-3,-0.12435499454676145,32.2490309931942
69,69,187,187,33,-6,-0.17985349979247828,33.541019662496836
70,70,208,187,32,-1,-0.03123983343026828,32.01562118716424
71,71,229,187,14,-2,-0.14189705460416396,14.142135623730953
72,72,250,187,13,7,0.5191461142465229,16.1245154965971
75,75,544,187,14,-3,-0.2782996590051113,14.560219778561034
76,76,565,187,32,-12,-0.38588266939807375,34.539832078341085
77,77,586,187,48,-20,-0.3947911196997615,52.0
78,78,607,187,58,-22,-0.3625442372645076,62.03224967708329
79,79,628,187,46,-15,-0.31521469975071104,48.383881613611784
80,80,19,208,73,-39,-0.4906680581880709,82.76472678623425
81,81,40,208,85,-29,-0.3287926915049544,89.81091247727082
82,82,61,208,51,-34,-0.5790742693677309,62.128898268036274
83,83,82,208,51,-23,-0.4236689218775161,55.94640292279746
84,84,103,208,72,-31,-0.4065668265945415,78.39005038906404
85,85,124,208,107,-39,-0.34952119099006324,113.8859078200635
86,86,145,208,107,-26,-0.23837082978675084,110.11357772772621
