frame,i,x1,y1,x2,y2,x,y,angle,size
5, 43, 110, 368, 109, 367, 1, 1, 0.7853981633974483, 1.4142135623730951
5, 51, 487, 198, 489, 199, -2, -1, -2.677945044588987, 2.23606797749979
5, 55, 502, 171, 501, 170, 1, 1, 0.7853981633974483, 1.4142135623730951
5, 62, 454, 112, 453, 114, 1, -2, -1.1071487177940904, 2.23606797749979
5, 70, 76, 317, 76, 319, 0, -2, -1.5707963267948966, 2.0
5, 99, 116, 314, 116, 316, 0, -2, -1.5707963267948966, 2.0
5, 101, 391, 350, 391, 352, 0, -2, -1.5707963267948966, 2.0
5, 114, 350, 151, 352, 151, -2, 0, 3.141592653589793, 2.0
5, 123, 314, 235, 316, 238, -2, -3, -2.158798930342464, 3.605551275463989
5, 140, 474, 281, 474, 283, 0, -2, -1.5707963267948966, 2.0
5, 155, 503, 297, 504, 295, -1, 2, 2.0344439357957027, 2.23606797749979
5, 166, 143, 157, 146, 158, -3, -1, -2.819842099193151, 3.1622776601683795
6, 33, 354, 110, 356, 112, -2, -2, -2.356194490192345, 2.8284271247461903
6, 59, 76, 315, 76, 317, 0, -2, -1.5707963267948966, 2.0
6, 99, 65, 333, 68, 333, -3, 0, 3.141592653589793, 3.0
6, 118, 474, 279, 474, 281, 0, -2, -1.5707963267948966, 2.0
6, 135, 58, 247, 59, 246, -1, 1, 2.356194490192345, 1.4142135623730951
7, 27, 538, 163, 540, 163, -2, 0, 3.141592653589793, 2.0
7, 98, 433, 264, 434, 263, -1, 1, 2.356194490192345, 1.4142135623730951
7, 105, 474, 277, 474, 279, 0, -2, -1.5707963267948966, 2.0
7, 111, 460, 215, 461, 217, -1, -2, -2.0344439357957027, 2.23606797749979
7, 113, 503, 294, 503, 296, 0, -2, -1.5707963267948966, 2.0
8, 50, 241, 253, 240, 254, 1, -1, -0.7853981633974483, 1.4142135623730951
8, 98, 474, 275, 474, 277, 0, -2, -1.5707963267948966, 2.0
8, 106, 503, 292, 503, 294, 0, -2, -1.5707963267948966, 2.0
9, 10, 601, 239, 599, 239, 2, 0, 0.0, 2.0
9, 40, 210, 328, 209, 329, 1, -1, -0.7853981633974483, 1.4142135623730951
9, 53, 395, 309, 394, 310, 1, -1, -0.7853981633974483, 1.4142135623730951
9, 61, 337, 253, 336, 254, 1, -1, -0.7853981633974483, 1.4142135623730951
9, 93, 475, 273, 474, 275, 1, -2, -1.1071487177940904, 2.23606797749979
10, 2, 192, 151, 194, 151, -2, 0, 3.141592653589793, 2.0
10, 3, 253, 121, 255, 122, -2, -1, -2.677945044588987, 2.23606797749979
10, 36, 418, 358, 420, 358, -2, 0, 3.141592653589793, 2.0
10, 49, 54, 177, 56, 177, -2, 0, 3.141592653589793, 2.0
10, 65, 359, 225, 358, 228, 1, -3, -1.2490457723982544, 3.1622776601683795
10, 107, 69, 193, 69, 195, 0, -2, -1.5707963267948966, 2.0
10, 143, 534, 181, 534, 183, 0, -2, -1.5707963267948966, 2.0
11, 8, 109, 366, 111, 368, -2, -2, -2.356194490192345, 2.8284271247461903
11, 9, 450, 234, 449, 235, 1, -1, -0.7853981633974483, 1.4142135623730951
11, 12, 430, 212, 429, 213, 1, -1, -0.7853981633974483, 1.4142135623730951
11, 38, 174, 330, 175, 329, -1, 1, 2.356194490192345, 1.4142135623730951
11, 58, 357, 227, 359, 225, -2, 2, 2.356194490192345, 2.8284271247461903
11, 74, 342, 198, 343, 197, -1, 1, 2.356194490192345, 1.4142135623730951
11, 84, 160, 359, 161, 358, -1, 1, 2.356194490192345, 1.4142135623730951
11, 92, 67, 191, 69, 193, -2, -2, -2.356194490192345, 2.8284271247461903
11, 112, 92, 217, 92, 219, 0, -2, -1.5707963267948966, 2.0
11, 115, 289, 313, 291, 313, -2, 0, 3.141592653589793, 2.0
11, 116, 153, 254, 155, 254, -2, 0, 3.141592653589793, 2.0
12, 8, 450, 232, 450, 234, 0, -2, -1.5707963267948966, 2.0
12, 30, 194, 344, 195, 343, -1, 1, 2.356194490192345, 1.4142135623730951
12, 45, 138, 329, 139, 328, -1, 1, 2.356194490192345, 1.4142135623730951
12, 66, 341, 199, 342, 198, -1, 1, 2.356194490192345, 1.4142135623730951
12, 83, 65, 189, 67, 191, -2, -2, -2.356194490192345, 2.8284271247461903
13, 40, 50, 176, 52, 177, -2, -1, -2.677945044588987, 2.23606797749979
13, 63, 340, 200, 341, 199, -1, 1, 2.356194490192345, 1.4142135623730951
13, 79, 63, 187, 65, 189, -2, -2, -2.356194490192345, 2.8284271247461903
15, 19, 253, 118, 254, 120, -1, -2, -2.0344439357957027, 2.23606797749979
15, 82, 567, 332, 566, 333, 1, -1, -0.7853981633974483, 1.4142135623730951
15, 115, 92, 329, 94, 330, -2, -1, -2.677945044588987, 2.23606797749979
15, 141, 456, 215, 457, 217, -1, -2, -2.0344439357957027, 2.23606797749979
16, 76, 161, 361, 162, 360, -1, 1, 2.356194490192345, 1.4142135623730951
16, 78, 94, 196, 95, 195, -1, 1, 2.356194490192345, 1.4142135623730951
16, 114, 179, 268, 180, 267, -1, 1, 2.356194490192345, 1.4142135623730951
17, 2, 180, 225, 182, 226, -2, -1, -2.677945044588987, 2.23606797749979
17, 88, 412, 158, 411, 159, 1, -1, -0.7853981633974483, 1.4142135623730951
17, 103, 179, 270, 179, 268, 0, 2, 1.5707963267948966, 2.0
18, 4, 450, 230, 449, 231, 1, -1, -0.7853981633974483, 1.4142135623730951
