,x1,y1,x,y,angle,size
0,40,103,-15,-15,-2.356194490192345,21.213203435596427
1,61,103,-64,-30,-2.7032560937318353,70.68238818828917
2,82,103,-48,-16,-2.8012107149478864,50.92150822589606
3,103,103,-79,-26,-2.8122664865419558,83.48652585896721
4,124,103,-33,-16,-2.690139562037239,36.6742416417845
5,145,103,-48,-16,-2.8012107149478864,50.92150822589606
6,166,103,-44,-13,-2.854311200192659,45.880278987817846
7,187,103,-22,-3,-3.0060649396042924,22.20360331117452
8,208,103,-29,-10,-2.7790484163252858,31.016124838541646
9,229,103,-15,-9,-2.6292031932790554,18.35755975068582
10,250,103,-30,-13,-2.7326848246388677,32.69556544854363
11,271,103,-3,-1,-2.819842099193151,3.1622776601683795
12,292,103,-19,-6,-2.788602265762883,20.248456731316587
13,313,103,-16,-8,-2.677945044588987,17.88854381999832
14,334,103,-4,-1,-2.896613990462929,4.123105625617661
15,355,103,-21,-17,-2.461071428922579,27.018512172212592
16,376,103,-3,-2,-2.5535900500422257,3.605551275463989
17,397,103,-17,-11,-2.5672878234150915,20.248456731316587
18,418,103,-7,-12,-2.0988707752212563,13.892443989449804
19,439,103,-5,-10,-2.1112158270654806,11.661903789690601
20,460,103,-2,-2,-2.356194490192345,2.8284271247461903
21,481,103,-3,-10,-1.8622531212727638,10.44030650891055
22,502,103,1,-9,-1.373400766945016,10.198039027185569
23,544,103,-2,-7,-1.849095985800008,7.280109889280518
24,565,103,8,-30,-1.2793395323170296,31.32091952673165
25,586,103,10,-24,-1.176005207095135,26.0
26,40,124,-6,0,3.141592653589793,6.0
27,61,124,-101,-51,-2.677945044588987,114.03946685248927
28,82,124,-131,-62,-2.6933284463695824,145.3616180427282
29,103,124,-111,-45,-2.7487221461251456,120.15406776301833
30,124,124,-79,-25,-2.835108088739931,82.86132994346639
31,145,124,-104,-47,-2.7091848780192556,114.54256850621083
32,166,124,-167,-79,-2.699733363626238,184.74306482247175
33,187,124,-132,-58,-2.7275936509775933,144.18044250174847
34,208,124,-124,-47,-2.7792915478546547,132.60844618650805
35,229,124,-175,-67,-2.770977150760211,187.7471704180918
36,250,124,-136,-62,-2.7077869292560965,149.88328792764054
37,271,124,-178,-69,-2.7717862572183236,190.90573590125572
38,292,124,-188,-65,-2.8087137827560253,198.91958174096385
39,313,124,-223,-60,-2.8745818792430318,231.19256043393784
40,334,124,-328,-121,-2.785497562218908,349.954282728473
41,355,124,-252,-112,-2.7200595125564186,276.1756687327832
42,376,124,-157,-55,-2.804634146267414,166.35504200354134
43,397,124,-93,-53,-2.61552623459303,107.54068997360952
44,418,124,-98,-64,-2.563068439172088,117.04699910719626
45,439,124,-102,-114,-2.3055465979122327,153.63918770938616
46,460,124,-32,-42,-2.2367655641740063,53.41348144429457
47,481,124,-24,-98,-1.8205711162161449,101.13851887386922
48,502,124,-5,-102,-1.619776727718624,102.12247548899312
49,523,124,4,-51,-1.473069419436178,51.24451190127583
50,544,124,12,-49,-1.3306253189347235,50.44799302251776
51,565,124,29,-106,-1.3037461932164476,109.89540481748998
52,586,124,24,-81,-1.2827408797442708,84.48076704197234
53,607,124,1,-12,-1.4876550949064553,12.041594578792296
54,40,145,-9,-5,-2.6344941491974563,10.295630140987
55,61,145,-115,-73,-2.5759895617163773,136.2130683891968
56,82,145,-209,-115,-2.6405792667862036,239.42639787625757
57,103,145,-150,-72,-2.6966594370518746,167.28717822953436
