frame,i,x1,y1,x2,y2,x,y,angle,size
74, 4, 303, 254, 303, 252, 0, 2, 1.5707963267948966, 2.0
74, 20, 551, 281, 552, 283, -1, -2, -2.0344439357957027, 2.23606797749979
74, 22, 299, 371, 298, 372, 1, -1, -0.7853981633974483, 1.4142135623730951
74, 34, 79, 276, 80, 275, -1, 1, 2.356194490192345, 1.4142135623730951
75, 5, 475, 326, 476, 325, -1, 1, 2.356194490192345, 1.4142135623730951
75, 8, 391, 223, 392, 222, -1, 1, 2.356194490192345, 1.4142135623730951
75, 14, 501, 262, 503, 262, -2, 0, 3.141592653589793, 2.0
75, 15, 551, 284, 553, 284, -2, 0, 3.141592653589793, 2.0
75, 19, 532, 315, 534, 315, -2, 0, 3.141592653589793, 2.0
75, 20, 444, 208, 445, 207, -1, 1, 2.356194490192345, 1.4142135623730951
75, 23, 482, 243, 484, 243, -2, 0, 3.141592653589793, 2.0
75, 27, 557, 195, 558, 194, -1, 1, 2.356194490192345, 1.4142135623730951
75, 31, 465, 261, 467, 262, -2, -1, -2.677945044588987, 2.23606797749979
75, 35, 87, 261, 87, 263, 0, -2, -1.5707963267948966, 2.0
75, 53, 95, 297, 95, 299, 0, -2, -1.5707963267948966, 2.0
75, 54, 444, 262, 446, 262, -2, 0, 3.141592653589793, 2.0
75, 57, 69, 268, 69, 270, 0, -2, -1.5707963267948966, 2.0
75, 61, 93, 330, 93, 332, 0, -2, -1.5707963267948966, 2.0
75, 64, 161, 345, 162, 347, -1, -2, -2.0344439357957027, 2.23606797749979
75, 66, 509, 291, 510, 293, -1, -2, -2.0344439357957027, 2.23606797749979
75, 67, 215, 319, 216, 321, -1, -2, -2.0344439357957027, 2.23606797749979
75, 69, 494, 345, 496, 346, -2, -1, -2.677945044588987, 2.23606797749979
75, 71, 290, 256, 291, 258, -1, -2, -2.0344439357957027, 2.23606797749979
75, 78, 112, 236, 111, 238, 1, -2, -1.1071487177940904, 2.23606797749979
75, 86, 431, 408, 433, 409, -2, -1, -2.677945044588987, 2.23606797749979
75, 105, 422, 381, 424, 382, -2, -1, -2.677945044588987, 2.23606797749979
75, 112, 50, 205, 49, 206, 1, -1, -0.7853981633974483, 1.4142135623730951
75, 114, 106, 241, 106, 243, 0, -2, -1.5707963267948966, 2.0
75, 117, 41, 254, 40, 255, 1, -1, -0.7853981633974483, 1.4142135623730951
75, 134, 437, 369, 439, 370, -2, -1, -2.677945044588987, 2.23606797749979
75, 136, 423, 218, 424, 217, -1, 1, 2.356194490192345, 1.4142135623730951
75, 141, 202, 218, 201, 219, 1, -1, -0.7853981633974483, 1.4142135623730951
75, 144, 48, 225, 48, 227, 0, -2, -1.5707963267948966, 2.0
75, 150, 59, 283, 59, 285, 0, -2, -1.5707963267948966, 2.0
75, 155, 389, 294, 391, 295, -2, -1, -2.677945044588987, 2.23606797749979
75, 158, 302, 254, 303, 256, -1, -2, -2.0344439357957027, 2.23606797749979
75, 169, 348, 418, 350, 419, -2, -1, -2.677945044588987, 2.23606797749979
79, 32, 444, 356, 445, 355, -1, 1, 2.356194490192345, 1.4142135623730951
101, 95, 400, 421, 402, 421, -2, 0, 3.141592653589793, 2.0
102, 52, 558, 310, 560, 311, -2, -1, -2.677945044588987, 2.23606797749979
105, 130, 635, 238, 638, 238, -3, 0, 3.141592653589793, 3.0
108, 57, 525, 305, 526, 304, -1, 1, 2.356194490192345, 1.4142135623730951
112, 34, 84, 226, 84, 228, 0, -2, -1.5707963267948966, 2.0
115, 41, 229, 381, 231, 382, -2, -1, -2.677945044588987, 2.23606797749979
120, 13, 335, 437, 337, 438, -2, -1, -2.677945044588987, 2.23606797749979
120, 77, 266, 427, 268, 428, -2, -1, -2.677945044588987, 2.23606797749979
120, 96, 329, 417, 331, 418, -2, -1, -2.677945044588987, 2.23606797749979
125, 81, 409, 405, 411, 406, -2, -1, -2.677945044588987, 2.23606797749979
126, 67, 407, 404, 409, 405, -2, -1, -2.677945044588987, 2.23606797749979
130, 87, 278, 431, 280, 432, -2, -1, -2.677945044588987, 2.23606797749979
135, 54, 261, 435, 263, 436, -2, -1, -2.677945044588987, 2.23606797749979
140, 58, 273, 430, 275, 431, -2, -1, -2.677945044588987, 2.23606797749979
