,x1,y1,x,y,angle,size
0,229,166,1,-1,-0.7853981633974483,1.4142135623730951
1,523,187,-1,1,2.356194490192345,1.4142135623730951
2,565,187,-1,1,2.356194490192345,1.4142135623730951
3,40,208,1,-1,-0.7853981633974483,1.4142135623730951
4,208,208,1,-1,-0.7853981633974483,1.4142135623730951
5,250,208,1,-1,-0.7853981633974483,1.4142135623730951
6,418,208,-1,1,2.356194490192345,1.4142135623730951
7,439,208,-1,1,2.356194490192345,1.4142135623730951
8,523,208,-1,1,2.356194490192345,1.4142135623730951
9,40,229,0,-2,-1.5707963267948966,2.0
10,82,229,0,-2,-1.5707963267948966,2.0
11,103,229,0,-4,-1.3258176636680326,4.123105625617661
12,397,229,-1,1,2.356194490192345,1.4142135623730951
13,628,229,-3,0,3.141592653589793,3.0
14,40,250,1,-1,-0.7853981633974483,1.4142135623730951
15,82,250,0,-4,-1.5707963267948966,4.0
16,103,250,-1,-4,-1.8157749899217608,4.123105625617661
17,292,250,-2,-4,-2.0344439357957027,4.47213595499958
18,313,250,0,2,1.5707963267948966,2.0
19,376,250,-2,0,3.141592653589793,2.0
20,481,250,-2,0,3.141592653589793,2.0
21,628,250,-16,0,3.141592653589793,16.0
22,61,271,0,-2,-1.5707963267948966,2.0
23,82,271,-1,-3,-1.892546881191539,3.1622776601683795
24,103,271,-1,-2,-2.0344439357957027,2.23606797749979
25,439,271,-4,0,3.141592653589793,4.0
26,460,271,-3,0,3.141592653589793,3.0
27,481,271,-2,0,3.141592653589793,2.0
28,502,271,-2,0,3.141592653589793,2.0
29,544,271,-3,-1,-2.5535900500422257,3.605551275463989
30,61,292,0,-2,-1.5707963267948966,2.0
31,103,292,0,-2,-1.5707963267948966,2.0
32,271,292,-2,0,3.141592653589793,2.0
33,355,292,-2,0,3.141592653589793,2.0
34,397,292,-2,-1,-2.677945044588987,2.23606797749979
35,481,292,-2,0,3.141592653589793,2.0
36,502,292,-1,-2,-2.0344439357957027,2.23606797749979
37,523,292,-2,0,3.141592653589793,2.0
38,544,292,-2,0,3.141592653589793,2.0
39,565,292,-2,0,3.141592653589793,2.0
40,586,292,-1,1,2.356194490192345,1.4142135623730951
41,208,313,-2,-3,-2.356194490192345,4.242640687119285
42,250,313,-4,0,3.141592653589793,4.0
43,355,313,-4,-1,-2.896613990462929,4.123105625617661
44,376,313,-2,-1,-2.677945044588987,2.23606797749979
45,397,313,-2,-1,-2.677945044588987,2.23606797749979
46,418,313,-4,-1,-2.896613990462929,4.123105625617661
47,481,313,-2,0,3.141592653589793,2.0
48,502,313,-2,0,3.141592653589793,2.0
49,523,313,-5,0,2.9441970937399127,5.0990195135927845
50,544,313,-2,0,3.141592653589793,2.0
51,565,313,-2,-1,-2.677945044588987,2.23606797749979
52,103,334,0,-2,-1.5707963267948966,2.0
53,124,334,-1,-2,-2.0344439357957027,2.23606797749979
54,208,334,-2,-1,-2.677945044588987,2.23606797749979
55,229,334,-2,-1,-2.677945044588987,2.23606797749979
56,250,334,-2,0,3.141592653589793,2.0
57,355,334,-4,-1,-2.896613990462929,4.123105625617661
58,376,334,-6,-2,-2.819842099193151,6.324555320336759
59,397,334,-6,0,3.141592653589793,6.0
60,418,334,-4,0,3.141592653589793,4.0
61,439,334,-8,-2,-2.896613990462929,8.246211251235321
62,460,334,-6,0,3.141592653589793,6.0
63,481,334,-5,0,2.9441970937399127,5.0990195135927845
64,502,334,-4,0,3.141592653589793,4.0
65,544,334,-2,-1,-2.677945044588987,2.23606797749979
66,124,355,-2,-1,-2.677945044588987,2.23606797749979
67,145,355,-4,-4,-2.2455372690184494,6.4031242374328485
68,166,355,-1,-2,-2.0344439357957027,2.23606797749979
69,250,355,-12,-5,-2.746801533890032,13.0
70,271,355,-11,-3,-2.7928216500058864,11.704699910719626
71,292,355,-10,-5,-2.677945044588987,11.180339887498949
72,313,355,-7,0,-3.017237659043032,8.06225774829855
73,334,355,-13,-5,-2.774418819771574,13.92838827718412
74,355,355,-9,0,-3.0309354324158977,9.055385138137417
75,376,355,-16,-3,-2.9562447035940984,16.278820596099706
76,397,355,-4,-1,-2.896613990462929,4.123105625617661
77,418,355,-4,0,3.141592653589793,4.0
78,439,355,-3,1,2.819842099193151,3.1622776601683795
79,460,355,-10,0,3.141592653589793,10.0
80,481,355,-6,0,3.141592653589793,6.0
81,502,355,-2,-1,-2.677945044588987,2.23606797749979
82,124,376,-2,-1,-2.677945044588987,2.23606797749979
83,145,376,-2,-2,-2.356194490192345,2.8284271247461903
84,229,376,-4,-1,-2.896613990462929,4.123105625617661
85,292,376,1,-1,-0.7853981633974483,1.4142135623730951
86,313,376,-18,-9,-2.677945044588987,20.12461179749811
87,334,376,-17,-8,-2.723368324010564,19.697715603592208
88,355,376,-8,-2,-2.896613990462929,8.246211251235321
89,376,376,-10,0,-3.0419240010986313,10.04987562112089
90,397,376,-23,-2,-3.017237659043032,24.186773244895647
91,418,376,-8,0,3.141592653589793,8.0
92,439,376,-12,-2,-2.976443976175166,12.165525060596439
93,229,397,-4,-2,-2.677945044588987,4.47213595499958
94,250,397,-2,-1,-2.677945044588987,2.23606797749979
95,271,397,-4,-1,-2.896613990462929,4.123105625617661
96,292,397,-4,-1,-2.896613990462929,4.123105625617661
97,355,397,-2,-1,-2.677945044588987,2.23606797749979
98,376,397,-2,-1,-2.677945044588987,2.23606797749979
99,397,397,-4,-1,-2.896613990462929,4.123105625617661
100,418,397,-2,-1,-2.677945044588987,2.23606797749979
101,250,418,-5,-2,-2.761086276477428,5.385164807134504
102,271,418,-2,-1,-2.677945044588987,2.23606797749979
103,292,418,-4,-1,-2.896613990462929,4.123105625617661
104,313,418,-2,-1,-2.677945044588987,2.23606797749979
105,334,418,-4,-2,-2.677945044588987,4.47213595499958
106,355,418,-2,-1,-2.677945044588987,2.23606797749979
107,397,418,-2,0,3.141592653589793,2.0
108,439,418,-2,-1,-2.677945044588987,2.23606797749979
109,271,439,-6,-3,-2.677945044588987,6.708203932499369
110,334,439,-10,-1,-2.9441970937399127,10.198039027185569
