,Unnamed: 0,x1,y1,x,y,angle,size
3,3,40,208,1,-1,-0.7853981633974483,1.4142135623730951
9,9,40,229,0,-2,-1.5707963267948966,2.0
10,10,82,229,0,-2,-1.5707963267948966,2.0
11,11,103,229,0,-4,-1.3258176636680326,4.123105625617661
14,14,40,250,1,-1,-0.7853981633974483,1.4142135623730951
15,15,82,250,0,-4,-1.5707963267948966,4.0
16,16,103,250,-1,-4,-1.8157749899217608,4.123105625617661
22,22,61,271,0,-2,-1.5707963267948966,2.0
23,23,82,271,-1,-3,-1.8925468811915391,3.1622776601683795
24,24,103,271,-1,-2,-2.0344439357957027,2.23606797749979
30,30,61,292,0,-2,-1.5707963267948966,2.0
31,31,103,292,0,-2,-1.5707963267948966,2.0
34,34,397,292,-2,-1,-2.677945044588987,2.23606797749979
41,41,208,313,-2,-3,-2.3561944901923453,4.242640687119285
43,43,355,313,-4,-1,-2.8966139904629284,4.123105625617661
44,44,376,313,-2,-1,-2.677945044588987,2.23606797749979
45,45,397,313,-2,-1,-2.677945044588987,2.23606797749979
46,46,418,313,-4,-1,-2.8966139904629284,4.123105625617661
52,52,103,334,0,-2,-1.5707963267948966,2.0
53,53,124,334,-1,-2,-2.0344439357957027,2.23606797749979
54,54,208,334,-2,-1,-2.677945044588987,2.23606797749979
55,55,229,334,-2,-1,-2.677945044588987,2.23606797749979
57,57,355,334,-4,-1,-2.8966139904629284,4.123105625617661
58,58,376,334,-6,-2,-2.8198420991931514,6.324555320336759
61,61,439,334,-8,-2,-2.8966139904629284,8.246211251235321
66,66,124,355,-2,-1,-2.677945044588987,2.23606797749979
67,67,145,355,-4,-4,-2.2455372690184494,6.4031242374328485
68,68,166,355,-1,-2,-2.0344439357957027,2.23606797749979
69,69,250,355,-12,-5,-2.746801533890032,13.0
70,70,271,355,-11,-3,-2.7928216500058864,11.704699910719626
71,71,292,355,-10,-5,-2.677945044588987,11.180339887498945
72,72,313,355,-7,0,-3.017237659043032,8.06225774829855
73,73,334,355,-13,-5,-2.774418819771574,13.92838827718412
74,74,355,355,-9,0,-3.0309354324158977,9.055385138137416
75,75,376,355,-16,-3,-2.9562447035940984,16.278820596099706
76,76,397,355,-4,-1,-2.8966139904629284,4.123105625617661
82,82,124,376,-2,-1,-2.677945044588987,2.23606797749979
83,83,145,376,-2,-2,-2.3561944901923453,2.8284271247461903
84,84,229,376,-4,-1,-2.8966139904629284,4.123105625617661
88,88,355,376,-8,-2,-2.8966139904629284,8.246211251235321
89,89,376,376,-10,0,-3.0419240010986317,10.04987562112089
92,92,439,376,-12,-2,-2.9764439761751658,12.16552506059644
93,93,229,397,-4,-2,-2.677945044588987,4.47213595499958
94,94,250,397,-2,-1,-2.677945044588987,2.23606797749979
95,95,271,397,-4,-1,-2.8966139904629284,4.123105625617661
96,96,292,397,-4,-1,-2.8966139904629284,4.123105625617661
97,97,355,397,-2,-1,-2.677945044588987,2.23606797749979
98,98,376,397,-2,-1,-2.677945044588987,2.23606797749979
99,99,397,397,-4,-1,-2.8966139904629284,4.123105625617661
100,100,418,397,-2,-1,-2.677945044588987,2.23606797749979
101,101,250,418,-5,-2,-2.761086276477428,5.385164807134505
102,102,271,418,-2,-1,-2.677945044588987,2.23606797749979
103,103,292,418,-4,-1,-2.8966139904629284,4.123105625617661
104,104,313,418,-2,-1,-2.677945044588987,2.23606797749979
105,105,334,418,-4,-2,-2.677945044588987,4.47213595499958
106,106,355,418,-2,-1,-2.677945044588987,2.23606797749979
108,108,439,418,-2,-1,-2.677945044588987,2.23606797749979
109,109,271,439,-6,-3,-2.677945044588987,6.708203932499369
110,110,334,439,-10,-1,-2.9441970937399127,10.198039027185569
