,x1,y1,x,y,angle,size
0,19,19,-1,-4,-1.8157749899217608,4.123105625617661
1,40,19,-118,-279,-1.9709200521175234,302.92738403782516
2,61,19,-57,-111,-2.045196209586804,124.77980605851253
3,82,19,-196,-370,-2.0600519972558287,419.17657377291494
4,103,19,-214,-360,-2.1059032493384624,419.66296000481145
5,124,19,-246,-433,-2.08745178616667,498.00100401505216
6,145,19,-97,-156,-2.1316971340472683,184.22811946062956
7,166,19,-72,-97,-2.20933058901468,120.80149005703531
8,187,19,-181,-256,-2.1888252390774583,314.10189429546585
9,208,19,-205,-238,-2.281839721287049,314.1162205299179
10,229,19,-133,-163,-2.258859944832848,211.00947846009194
11,250,19,-326,-333,-2.347103831527285,466.70975991508897
12,271,19,-335,-335,-2.3547041783299654,474.4691770810829
13,292,19,-128,-141,-2.304389033401344,191.17531221368517
14,313,19,-149,-152,-2.349572070449677,213.55093069335942
15,334,19,-68,-63,-2.3943439110633276,92.69843580125827
16,40,40,-90,-238,-1.9323268796625657,254.44842306447882
17,61,40,-71,-151,-2.0103199303551036,166.85922210054798
18,82,40,-84,-158,-2.059438729414623,178.94133116750865
19,103,40,-165,-321,-2.0480569562236064,361.3820692840197
20,124,40,-238,-400,-2.1093755641447154,465.96244483863717
21,145,40,-189,-306,-2.126452743041598,360.1888393606887
22,166,40,-50,-61,-2.2574178981246824,78.87331614684399
23,187,40,-105,-132,-2.2427594983851287,168.66831356244717
24,208,40,-130,-158,-2.2630392868981124,205.24375751773792
25,229,40,-175,-207,-2.272619982767758,271.0608787708031
26,250,40,-154,-157,-2.3465484871246676,219.92044015961773
27,271,40,-280,-282,-2.3544182931259603,398.1017457886865
28,292,40,-307,-305,-2.3594624524150194,432.75166088647194
29,313,40,-181,-174,-2.3730468272336878,251.76576415390556
30,334,40,-145,-155,-2.3196658955371268,212.9812198293549
31,355,40,-41,-37,-2.3941509353806594,55.90169943749474
32,40,61,-42,-101,-1.9614033704925835,110.30865786510141
33,61,61,-71,-155,-2.000336433044763,170.48753620133056
34,82,61,-49,-58,-2.263865155460746,76.69419795525604
35,103,61,-176,-346,-2.043649659628982,388.6450823051798
36,124,61,-131,-228,-2.092300927234455,262.9543686649834
37,145,61,-213,-319,-2.158077429746159,384.4073360382187
38,166,61,-65,-93,-2.1808002696489224,113.46365056704283
39,187,61,-21,-3,-2.999695598985629,21.213203435596427
40,208,61,-64,-69,-2.3114482587377294,94.847245611035
41,229,61,-129,-178,-2.197920373966397,219.82947936980608
