frame,i,x1,y1,x2,y2,x,y,angle,size
5, 0, 31, 155, 32, 155, -1, 0, 3.141592653589793, 1.0
5, 1, 10, 197, 10, 197, 0, 0, 0.0, 0.0
5, 2, 37, 118, 37, 118, 0, 0, 0.0, 0.0
5, 3, 6, 38, 6, 39, 0, -1, -1.5707963267948966, 1.0
5, 4, 10, 154, 10, 154, 0, 0, 0.0, 0.0
5, 5, 18, 176, 18, 177, 0, -1, -1.5707963267948966, 1.0
5, 6, 20, 188, 21, 188, -1, 0, 3.141592653589793, 1.0
5, 7, 13, 72, 13, 72, 0, 0, 0.0, 0.0
5, 8, 16, 85, 16, 85, 0, 0, 0.0, 0.0
5, 9, 19, 140, 20, 140, -1, 0, 3.141592653589793, 1.0
5, 10, 32, 83, 32, 83, 0, 0, 0.0, 0.0
5, 11, 21, 101, 21, 101, 0, 0, 0.0, 0.0
6, 0, 31, 154, 31, 155, 0, -1, -1.5707963267948966, 1.0
6, 1, 36, 118, 37, 118, -1, 0, 3.141592653589793, 1.0
6, 2, 6, 37, 6, 38, 0, -1, -1.5707963267948966, 1.0
6, 3, 10, 153, 10, 154, 0, -1, -1.5707963267948966, 1.0
6, 4, 17, 176, 18, 176, -1, 0, 3.141592653589793, 1.0
6, 5, 20, 188, 20, 188, 0, 0, 0.0, 0.0
6, 6, 13, 71, 13, 72, 0, -1, -1.5707963267948966, 1.0
6, 7, 16, 85, 16, 85, 0, 0, 0.0, 0.0
6, 8, 18, 140, 19, 140, -1, 0, 3.141592653589793, 1.0
6, 9, 32, 83, 32, 83, 0, 0, 0.0, 0.0
6, 10, 20, 101, 21, 101, -1, 0, 3.141592653589793, 1.0
7, 0, 31, 154, 31, 154, 0, 0, 0.0, 0.0
7, 1, 36, 118, 36, 118, 0, 0, 0.0, 0.0
7, 2, 9, 153, 10, 153, -1, 0, 3.141592653589793, 1.0
7, 3, 20, 188, 20, 188, 0, 0, 0.0, 0.0
7, 4, 16, 84, 16, 85, 0, -1, -1.5707963267948966, 1.0
7, 5, 18, 139, 18, 140, 0, -1, -1.5707963267948966, 1.0
7, 6, 32, 83, 32, 83, 0, 0, 0.0, 0.0
8, 0, 31, 154, 31, 154, 0, 0, 0.0, 0.0
8, 1, 36, 118, 36, 118, 0, 0, 0.0, 0.0
8, 2, 9, 152, 9, 153, 0, -1, -1.5707963267948966, 1.0
8, 3, 20, 188, 20, 188, 0, 0, 0.0, 0.0
8, 4, 15, 84, 16, 84, -1, 0, 3.141592653589793, 1.0
8, 5, 32, 82, 32, 83, 0, -1, -1.5707963267948966, 1.0
9, 0, 31, 154, 31, 154, 0, 0, 0.0, 0.0
9, 1, 36, 117, 36, 118, 0, -1, -1.5707963267948966, 1.0
9, 2, 9, 151, 9, 152, 0, -1, -1.5707963267948966, 1.0
9, 3, 20, 188, 20, 188, 0, 0, 0.0, 0.0
9, 4, 15, 84, 15, 84, 0, 0, 0.0, 0.0
9, 5, 31, 82, 32, 82, -1, 0, 3.141592653589793, 1.0
10, 0, 33, 154, 33, 155, 0, -1, -1.5707963267948966, 1.0
10, 1, 15, 58, 16, 58, -1, 0, 3.141592653589793, 1.0
10, 2, 14, 120, 15, 120, -1, 0, 3.141592653589793, 1.0
10, 3, 9, 154, 10, 154, -1, 0, 3.141592653589793, 1.0
10, 4, 7, 38, 7, 39, 0, -1, -1.5707963267948966, 1.0
10, 5, 22, 188, 22, 188, 0, 0, 0.0, 0.0
10, 6, 4, 108, 4, 108, 0, 0, 0.0, 0.0
10, 7, 13, 72, 13, 72, 0, 0, 0.0, 0.0
10, 8, 32, 82, 32, 83, 0, -1, -1.5707963267948966, 1.0
10, 9, 18, 176, 18, 177, 0, -1, -1.5707963267948966, 1.0
10, 10, 16, 85, 16, 85, 0, 0, 0.0, 0.0
10, 11, 20, 140, 20, 140, 0, 0, 0.0, 0.0
10, 12, 21, 101, 21, 101, 0, 0, 0.0, 0.0
10, 13, 3, 163, 3, 163, 0, 0, 0.0, 0.0
10, 14, 15, 43, 15, 44, 0, -1, -1.5707963267948966, 1.0
10, 15, 6, 57, 6, 57, 0, 0, 0.0, 0.0
11, 0, 33, 154, 33, 154, 0, 0, 0.0, 0.0
11, 1, 14, 58, 15, 58, -1, 0, 3.141592653589793, 1.0
11, 2, 9, 154, 9, 154, 0, 0, 0.0, 0.0
11, 3, 6, 38, 7, 38, -1, 0, 3.141592653589793, 1.0
11, 4, 21, 188, 22, 188, -1, 0, 3.141592653589793, 1.0
11, 5, 13, 72, 13, 72, 0, 0, 0.0, 0.0
11, 6, 31, 82, 32, 82, -1, 0, 3.141592653589793, 1.0
11, 7, 18, 176, 18, 176, 0, 0, 0.0, 0.0
11, 8, 16, 85, 16, 85, 0, 0, 0.0, 0.0
11, 9, 2, 163, 3, 163, -1, 0, 3.141592653589793, 1.0
11, 10, 5, 57, 6, 57, -1, 0, 3.141592653589793, 1.0
12, 0, 33, 153, 33, 154, 0, -1, -1.5707963267948966, 1.0
12, 1, 14, 58, 14, 58, 0, 0, 0.0, 0.0
12, 2, 9, 153, 9, 154, 0, -1, -1.5707963267948966, 1.0
12, 3, 6, 37, 6, 38, 0, -1, -1.5707963267948966, 1.0
12, 4, 21, 188, 21, 188, 0, 0, 0.0, 0.0
12, 5, 12, 72, 13, 72, -1, 0, 3.141592653589793, 1.0
12, 6, 31, 82, 31, 82, 0, 0, 0.0, 0.0
12, 7, 17, 176, 18, 176, -1, 0, 3.141592653589793, 1.0
12, 8, 16, 85, 16, 85, 0, 0, 0.0, 0.0
12, 9, 1, 163, 2, 163, -1, 0, 3.141592653589793, 1.0
12, 10, 4, 57, 5, 57, -1, 0, 3.141592653589793, 1.0
13, 0, 8, 153, 9, 153, -1, 0, 3.141592653589793, 1.0
13, 1, 20, 188, 21, 188, -1, 0, 3.141592653589793, 1.0
13, 2, 17, 175, 17, 176, 0, -1, -1.5707963267948966, 1.0
13, 3, 3, 57, 4, 57, -1, 0, 3.141592653589793, 1.0
14, 0, 19, 188, 20, 188, -1, 0, 3.141592653589793, 1.0
14, 1, 16, 175, 17, 175, -1, 0, 3.141592653589793, 1.0
14, 2, 3, 57, 3, 57, 0, 0, 0.0, 0.0
15, 0, 33, 155, 33, 155, 0, 0, 0.0, 0.0
15, 1, 15, 58, 15, 58, 0, 0, 0.0, 0.0
15, 2, 26, 139, 27, 139, -1, 0, 3.141592653589793, 1.0
15, 3, 10, 153, 10, 154, 0, -1, -1.5707963267948966, 1.0
15, 4, 13, 120, 14, 120, -1, 0, 3.141592653589793, 1.0
15, 5, 22, 189, 22, 189, 0, 0, 0.0, 0.0
15, 6, 32, 82, 32, 83, 0, -1, -1.5707963267948966, 1.0
15, 7, 4, 107, 4, 108, 0, -1, -1.5707963267948966, 1.0
15, 8, 37, 117, 37, 118, 0, -1, -1.5707963267948966, 1.0
15, 9, 13, 72, 14, 72, -1, 0, 3.141592653589793, 1.0
15, 10, 16, 177, 17, 177, -1, 0, 3.141592653589793, 1.0
15, 11, 26, 167, 26, 168, 0, -1, -1.5707963267948966, 1.0
15, 12, 33, 178, 33, 179, 0, -1, -1.5707963267948966, 1.0
15, 13, 20, 140, 20, 140, 0, 0, 0.0, 0.0
15, 14, 1, 183, 2, 183, -1, 0, 3.141592653589793, 1.0
16, 0, 33, 154, 33, 155, 0, -1, -1.5707963267948966, 1.0
16, 1, 14, 58, 15, 58, -1, 0, 3.141592653589793, 1.0
16, 2, 26, 139, 26, 139, 0, 0, 0.0, 0.0
16, 3, 10, 152, 10, 153, 0, -1, -1.5707963267948966, 1.0
16, 4, 22, 189, 22, 189, 0, 0, 0.0, 0.0
16, 5, 31, 82, 32, 82, -1, 0, 3.141592653589793, 1.0
16, 6, 4, 107, 4, 107, 0, 0, 0.0, 0.0
16, 7, 37, 117, 37, 117, 0, 0, 0.0, 0.0
16, 8, 13, 71, 13, 72, 0, -1, -1.5707963267948966, 1.0
16, 9, 16, 176, 16, 177, 0, -1, -1.5707963267948966, 1.0
16, 10, 26, 166, 26, 167, 0, -1, -1.5707963267948966, 1.0
16, 11, 33, 177, 33, 178, 0, -1, -1.5707963267948966, 1.0
16, 12, 19, 140, 20, 140, -1, 0, 3.141592653589793, 1.0
16, 13, 1, 182, 1, 183, 0, -1, -1.5707963267948966, 1.0
17, 0, 33, 153, 33, 154, 0, -1, -1.5707963267948966, 1.0
17, 1, 13, 58, 14, 58, -1, 0, 3.141592653589793, 1.0
17, 2, 25, 139, 26, 139, -1, 0, 3.141592653589793, 1.0
17, 3, 10, 151, 10, 152, 0, -1, -1.5707963267948966, 1.0
17, 4, 21, 189, 22, 189, -1, 0, 3.141592653589793, 1.0
17, 5, 30, 82, 31, 82, -1, 0, 3.141592653589793, 1.0
17, 6, 3, 107, 4, 107, -1, 0, 3.141592653589793, 1.0
17, 7, 13, 70, 13, 71, 0, -1, -1.5707963267948966, 1.0
17, 8, 16, 176, 16, 176, 0, 0, 0.0, 0.0
17, 9, 33, 177, 33, 177, 0, 0, 0.0, 0.0
17, 10, 18, 140, 19, 140, -1, 0, 3.141592653589793, 1.0
17, 11, 1, 182, 1, 182, 0, 0, 0.0, 0.0
18, 0, 33, 152, 33, 153, 0, -1, -1.5707963267948966, 1.0
18, 1, 13, 57, 13, 58, 0, -1, -1.5707963267948966, 1.0
18, 2, 24, 139, 25, 139, -1, 0, 3.141592653589793, 1.0
18, 3, 21, 189, 21, 189, 0, 0, 0.0, 0.0
18, 4, 2, 107, 3, 107, -1, 0, 3.141592653589793, 1.0
18, 5, 12, 70, 13, 70, -1, 0, 3.141592653589793, 1.0
18, 6, 15, 176, 16, 176, -1, 0, 3.141592653589793, 1.0
