frame,i,x1,y1,x2,y2,x,y,angle,size
5, 0, 191, 150, 192, 150, -1, 0, 3.141592653589793, 1.0
5, 1, 114, 272, 115, 272, -1, 0, 3.141592653589793, 1.0
5, 2, 183, 224, 184, 224, -1, 0, 3.141592653589793, 1.0
5, 3, 226, 159, 226, 159, 0, 0, 0.0, 0.0
5, 4, 73, 353, 74, 353, -1, 0, 3.141592653589793, 1.0
5, 5, 293, 231, 294, 231, -1, 0, 3.141592653589793, 1.0
5, 6, 254, 122, 255, 122, -1, 0, 3.141592653589793, 1.0
5, 7, 558, 165, 558, 166, 0, -1, -1.5707963267948966, 1.0
5, 8, 114, 298, 114, 299, 0, -1, -1.5707963267948966, 1.0
5, 9, 572, 316, 572, 316, 0, 0, 0.0, 0.0
5, 10, 593, 349, 593, 349, 0, 0, 0.0, 0.0
5, 11, 337, 242, 337, 243, 0, -1, -1.5707963267948966, 1.0
5, 12, 191, 329, 192, 329, -1, 0, 3.141592653589793, 1.0
5, 13, 428, 215, 428, 215, 0, 0, 0.0, 0.0
5, 14, 474, 349, 474, 349, 0, 0, 0.0, 0.0
5, 15, 308, 310, 308, 311, 0, -1, -1.5707963267948966, 1.0
5, 16, 599, 239, 599, 239, 0, 0, 0.0, 0.0
5, 17, 415, 144, 415, 144, 0, 0, 0.0, 0.0
5, 18, 434, 303, 435, 303, -1, 0, 3.141592653589793, 1.0
5, 19, 598, 319, 599, 319, -1, 0, 3.141592653589793, 1.0
5, 20, 589, 187, 589, 187, 0, 0, 0.0, 0.0
5, 21, 450, 310, 451, 310, -1, 0, 3.141592653589793, 1.0
5, 22, 293, 153, 293, 154, 0, -1, -1.5707963267948966, 1.0
5, 23, 571, 159, 572, 159, -1, 0, 3.141592653589793, 1.0
5, 24, 47, 234, 48, 234, -1, 0, 3.141592653589793, 1.0
5, 25, 371, 286, 371, 286, 0, 0, 0.0, 0.0
5, 26, 111, 152, 112, 152, -1, 0, 3.141592653589793, 1.0
5, 27, 342, 194, 343, 194, -1, 0, 3.141592653589793, 1.0
5, 28, 382, 175, 382, 175, 0, 0, 0.0, 0.0
5, 29, 585, 206, 585, 206, 0, 0, 0.0, 0.0
5, 30, 76, 367, 77, 367, -1, 0, 3.141592653589793, 1.0
5, 31, 592, 207, 592, 207, 0, 0, 0.0, 0.0
5, 32, 44, 366, 44, 367, 0, -1, -1.5707963267948966, 1.0
5, 33, 578, 113, 579, 113, -1, 0, 3.141592653589793, 1.0
5, 34, 541, 163, 542, 163, -1, 0, 3.141592653589793, 1.0
5, 35, 419, 356, 420, 356, -1, 0, 3.141592653589793, 1.0
5, 36, 197, 341, 198, 341, -1, 0, 3.141592653589793, 1.0
5, 37, 61, 342, 61, 342, 0, 0, 0.0, 0.0
5, 38, 216, 214, 216, 214, 0, 0, 0.0, 0.0
5, 39, 596, 268, 597, 268, -1, 0, 3.141592653589793, 1.0
5, 40, 601, 175, 601, 176, 0, -1, -1.5707963267948966, 1.0
5, 41, 356, 112, 356, 113, 0, -1, -1.5707963267948966, 1.0
5, 42, 434, 148, 434, 148, 0, 0, 0.0, 0.0
5, 43, 110, 368, 109, 367, 1, 1, 0.7853981633974483, 1.4142135623730951
5, 44, 74, 126, 74, 127, 0, -1, -1.5707963267948966, 1.0
5, 45, 131, 301, 132, 301, -1, 0, 3.141592653589793, 1.0
5, 46, 75, 274, 75, 275, 0, -1, -1.5707963267948966, 1.0
5, 47, 136, 183, 136, 184, 0, -1, -1.5707963267948966, 1.0
5, 48, 559, 351, 559, 352, 0, -1, -1.5707963267948966, 1.0
5, 49, 532, 223, 532, 223, 0, 0, 0.0, 0.0
5, 50, 344, 270, 345, 270, -1, 0, 3.141592653589793, 1.0
5, 51, 487, 198, 489, 199, -2, -1, -2.677945044588987, 2.23606797749979
5, 52, 59, 234, 60, 234, -1, 0, 3.141592653589793, 1.0
5, 53, 482, 282, 482, 283, 0, -1, -1.5707963267948966, 1.0
5, 54, 407, 269, 407, 269, 0, 0, 0.0, 0.0
5, 55, 502, 171, 501, 170, 1, 1, 0.7853981633974483, 1.4142135623730951
5, 56, 186, 325, 186, 325, 0, 0, 0.0, 0.0
5, 57, 256, 282, 256, 283, 0, -1, -1.5707963267948966, 1.0
5, 58, 584, 247, 585, 247, -1, 0, 3.141592653589793, 1.0
5, 59, 394, 279, 395, 279, -1, 0, 3.141592653589793, 1.0
5, 60, 209, 332, 209, 333, 0, -1, -1.5707963267948966, 1.0
5, 61, 392, 186, 392, 187, 0, -1, -1.5707963267948966, 1.0
5, 62, 454, 112, 453, 114, 1, -2, -1.1071487177940904, 2.23606797749979
5, 63, 502, 351, 503, 351, -1, 0, 3.141592653589793, 1.0
5, 64, 328, 188, 329, 188, -1, 0, 3.141592653589793, 1.0
5, 65, 121, 181, 121, 182, 0, -1, -1.5707963267948966, 1.0
5, 66, 253, 314, 253, 314, 0, 0, 0.0, 0.0
5, 67, 334, 168, 334, 169, 0, -1, -1.5707963267948966, 1.0
5, 68, 544, 365, 545, 365, -1, 0, 3.141592653589793, 1.0
5, 69, 507, 162, 508, 162, -1, 0, 3.141592653589793, 1.0
5, 70, 76, 317, 76, 319, 0, -2, -1.5707963267948966, 2.0
5, 71, 240, 256, 240, 257, 0, -1, -1.5707963267948966, 1.0
5, 72, 235, 296, 236, 296, -1, 0, 3.141592653589793, 1.0
5, 73, 516, 160, 517, 160, -1, 0, 3.141592653589793, 1.0
5, 74, 123, 197, 124, 197, -1, 0, 3.141592653589793, 1.0
5, 75, 100, 226, 100, 226, 0, 0, 0.0, 0.0
5, 76, 415, 202, 415, 203, 0, -1, -1.5707963267948966, 1.0
5, 77, 394, 313, 394, 314, 0, -1, -1.5707963267948966, 1.0
