frame,i,x1,y1,x2,y2,x,y,angle,size
5, 0, 342, 95, 342, 96, 0, -1, -1.5707963267948966, 1.0
5, 1, 121, 119, 121, 119, 0, 0, 0.0, 0.0
5, 2, 195, 62, 196, 62, -1, 0, 3.141592653589793, 1.0
5, 3, 565, 394, 565, 395, 0, -1, -1.5707963267948966, 1.0
5, 4, 46, 7, 47, 7, -1, 0, 3.141592653589793, 1.0
5, 5, 495, 311, 495, 312, 0, -1, -1.5707963267948966, 1.0
5, 6, 270, 27, 270, 27, 0, 0, 0.0, 0.0
5, 7, 356, 464, 356, 464, 0, 0, 0.0, 0.0
5, 8, 552, 321, 552, 321, 0, 0, 0.0, 0.0
5, 9, 110, 103, 111, 103, -1, 0, 3.141592653589793, 1.0
5, 10, 177, 76, 177, 77, 0, -1, -1.5707963267948966, 1.0
5, 11, 350, 428, 350, 428, 0, 0, 0.0, 0.0
5, 12, 374, 91, 374, 92, 0, -1, -1.5707963267948966, 1.0
5, 13, 190, 67, 191, 67, -1, 0, 3.141592653589793, 1.0
5, 14, 171, 14, 171, 15, 0, -1, -1.5707963267948966, 1.0
5, 15, 150, 79, 151, 79, -1, 0, 3.141592653589793, 1.0
5, 16, 271, 12, 272, 12, -1, 0, 3.141592653589793, 1.0
5, 17, 129, 93, 129, 93, 0, 0, 0.0, 0.0
5, 18, 343, 140, 343, 141, 0, -1, -1.5707963267948966, 1.0
5, 19, 128, 144, 128, 144, 0, 0, 0.0, 0.0
5, 20, 332, 380, 332, 382, 0, -2, -1.5707963267948966, 2.0
5, 21, 551, 415, 551, 415, 0, 0, 0.0, 0.0
5, 22, 230, 43, 231, 43, -1, 0, 3.141592653589793, 1.0
5, 23, 323, 376, 324, 376, -1, 0, 3.141592653589793, 1.0
5, 24, 172, 66, 172, 66, 0, 0, 0.0, 0.0
5, 25, 350, 389, 350, 390, 0, -1, -1.5707963267948966, 1.0
5, 26, 85, 51, 86, 51, -1, 0, 3.141592653589793, 1.0
5, 27, 92, 84, 92, 84, 0, 0, 0.0, 0.0
5, 28, 259, 7, 259, 8, 0, -1, -1.5707963267948966, 1.0
5, 29, 470, 429, 471, 429, -1, 0, 3.141592653589793, 1.0
5, 30, 518, 358, 518, 358, 0, 0, 0.0, 0.0
5, 31, 371, 124, 371, 125, 0, -1, -1.5707963267948966, 1.0
5, 32, 343, 64, 343, 64, 0, 0, 0.0, 0.0
5, 33, 178, 167, 179, 167, -1, 0, 3.141592653589793, 1.0
5, 34, 111, 33, 112, 33, -1, 0, 3.141592653589793, 1.0
5, 35, 165, 20, 166, 20, -1, 0, 3.141592653589793, 1.0
5, 36, 173, 130, 173, 130, 0, 0, 0.0, 0.0
5, 37, 161, 30, 162, 30, -1, 0, 3.141592653589793, 1.0
6, 0, 194, 62, 195, 62, -1, 0, 3.141592653589793, 1.0
6, 1, 565, 394, 565, 394, 0, 0, 0.0, 0.0
6, 2, 45, 7, 46, 7, -1, 0, 3.141592653589793, 1.0
6, 3, 495, 310, 495, 311, 0, -1, -1.5707963267948966, 1.0
6, 4, 270, 27, 270, 27, 0, 0, 0.0, 0.0
6, 5, 356, 464, 356, 464, 0, 0, 0.0, 0.0
6, 6, 552, 321, 552, 321, 0, 0, 0.0, 0.0
6, 7, 110, 102, 110, 103, 0, -1, -1.5707963267948966, 1.0
6, 8, 177, 76, 177, 76, 0, 0, 0.0, 0.0
6, 9, 350, 428, 350, 428, 0, 0, 0.0, 0.0
6, 10, 374, 90, 374, 91, 0, -1, -1.5707963267948966, 1.0
6, 11, 189, 67, 190, 67, -1, 0, 3.141592653589793, 1.0
6, 12, 150, 79, 150, 79, 0, 0, 0.0, 0.0
6, 13, 270, 12, 271, 12, -1, 0, 3.141592653589793, 1.0
6, 14, 128, 93, 129, 93, -1, 0, 3.141592653589793, 1.0
6, 15, 342, 140, 343, 140, -1, 0, 3.141592653589793, 1.0
6, 16, 128, 144, 128, 144, 0, 0, 0.0, 0.0
6, 17, 331, 380, 332, 380, -1, 0, 3.141592653589793, 1.0
6, 18, 550, 415, 551, 415, -1, 0, 3.141592653589793, 1.0
6, 19, 229, 43, 230, 43, -1, 0, 3.141592653589793, 1.0
6, 20, 322, 376, 323, 376, -1, 0, 3.141592653589793, 1.0
6, 21, 172, 66, 172, 66, 0, 0, 0.0, 0.0
6, 22, 84, 51, 85, 51, -1, 0, 3.141592653589793, 1.0
6, 23, 92, 83, 92, 84, 0, -1, -1.5707963267948966, 1.0
